window,capture_start,capture_stop,usable_start,usable_stop,timestamp,center_frequency,noise_floor,average_power,minimum_power,peak_power,peak_frequency,dynamic_range,bin_width,fft_size,sample_rate,gain
93,165055110.32656664,167455110.32656664,165295110.32656664,167215110.32656664,2026-07-09T22:54:38.319623+00:00,166255110.32656664,30.744271630673232,29.934957825593287,-8.506789796469482,50.408759933000795,166134846.65469164,19.664488302327563,146.484375,16384,2400000.0,0.0
94,166590926.74315974,168990926.74315974,166830926.74315974,168750926.74315974,2026-07-09T22:54:38.379238+00:00,167790926.74315974,30.688080964603998,29.841653410499354,-4.819608609093125,58.910689562708185,167999959.94628474,28.222608598104188,146.484375,16384,2400000.0,0.0
95,168126743.15975288,170526743.15975288,168366743.15975288,170286743.15975288,2026-07-09T22:54:38.437977+00:00,169326743.15975288,31.459714356218903,30.640379974740476,-12.737901777561076,43.36159231072316,170081577.14412788,11.901877954504258,146.484375,16384,2400000.0,0.0
96,169662559.57634598,172062559.57634598,169902559.57634598,171822559.57634598,2026-07-09T22:54:38.495773+00:00,170862559.57634598,32.19523751981988,31.352124071510456,-12.212065570885958,45.18095716533857,171426963.87322098,12.985719645518692,146.484375,16384,2400000.0,0.0
97,171198375.99293908,173598375.99293908,171438375.99293908,173358375.99293908,2026-07-09T22:54:38.554913+00:00,172398375.99293908,30.349256594000735,29.544637573760262,-13.438911462178716,74.1450288011154,172800036.14918908,43.795772207114666,146.484375,16384,2400000.0,0.0
98,172734192.40953222,175134192.40953222,172974192.40953222,174894192.40953222,2026-07-09T22:54:38.614480+00:00,173934192.40953222,31.524352360161885,30.813862538995537,-11.409332784455813,66.55850540204015,172799963.89390722,35.03415304187827,146.484375,16384,2400000.0,0.0
99,174270008.82612532,176670008.82612532,174510008.82612532,176430008.82612532,2026-07-09T22:54:38.673782+00:00,175470008.82612532,34.928624929692496,34.04545884831077,-6.990773058783624,52.22544987225298,174309706.09175032,17.296824942560484,146.484375,16384,2400000.0,0.0
100,175805825.24271843,178205825.24271843,176045825.24271843,177965825.24271843,2026-07-09T22:54:38.731895+00:00,177005825.24271843,34.02636867156655,33.24467913244634,-14.910422314996339,49.1368369066307,177599965.86771843,15.110468235064147,146.484375,16384,2400000.0,0.0
101,177341641.65931156,179741641.65931156,177581641.65931156,179501641.65931156,2026-07-09T22:54:38.792069+00:00,178541641.65931156,34.85179384899584,33.84818912553875,-2.6505762308110103,49.05625598007626,178385928.76868656,14.204462131080419,146.484375,16384,2400000.0,0.0
102,178877458.07590467,181277458.07590467,179117458.07590467,181037458.07590467,2026-07-09T22:54:38.851827+00:00,180077458.07590467,29.901272711843596,30.25270683008177,-13.61591514293465,50.318671823689776,179321012.76340467,20.41739911184618,146.484375,16384,2400000.0,0.0
103,180413274.49249777,182813274.49249777,180653274.49249777,182573274.49249777,2026-07-09T22:54:38.911708+00:00,181613274.49249777,31.569761297120333,30.713238888294125,-10.828562153125285,58.53601295745826,182400042.07062277,26.966251660337928,146.484375,16384,2400000.0,0.0
104,181949090.9090909,184349090.9090909,182189090.9090909,184109090.9090909,2026-07-09T22:54:38.970950+00:00,183149090.9090909,32.538694570041756,31.63027366537307,-15.640758285499476,58.38885260824406,182399969.8153409,25.850158038202302,146.484375,16384,2400000.0,0.0
